"sigla_evento";"nome_evento";"estrato"
COIN;International Workshop on Coordination, Organisations, Institutions and Norms;B4
COLING;International Conference on Computational Linguistics;A2
COLOGNETWENTE;Cologne-Twente Workshop on Graphs and Combinatorial Optimization;B3
COLT;Conference on Learning Theory;A1
COMMA;International Conference on Computational Models of Argument;A4
RSS;Robotics: Science and Systems;A1
COMMONSENSE;Symposium on Logical Formalizations of Commonsense Reasoning;B3
COMPGEOM;International Symposium on Computational Geometry;A3
COMPIMAGE;International Symposium CompIMAGE;B3
COMPLENET;INTERNATIONAL CONFERENCE ON COMPLEX NETWORKS;B4
COMPSAC;Annual International Computers, Software & Applications Conference;A3
CompSysTech;International Conference on Computer Systems and Technologies;B2
COMPUTEC;SEMINÁRIO DE COMPUTAÇÃO E MERCADO;B4
COMSNETS;International Conference on COMmunication Systems & NETworkS;A3
COMSOC;International Workshop on Computational Social Choice;B4
CONCUR;International Conference on Concurrency Theory;A3
CONEXT;Conference on Emerging Network Experiment and Technology;A2
CONFIRM;International Conference on Information Resources Management;B4
CoNLL;Conference on Natural Language Learning;A2
CONTECSI;International Conference on Information Systems and Technology Management;B3
CONTEXT-BPM;PM - International Workshop on Context for Business Process Management;B4
CoopIS;International Conference on Cooperative Information Systems;B2
COSIT;International Conference on Spatial Information Theory;A3
COSN;Conference on Online Social Networks;A3
COTB;Computer on The Beach;B3
COURB;Workshop of Urban Computing;B1
CP;International Conference on Principles and Practice of Constraint Programming;A3
CPA;Communicating Process Architectures;B3
CPM;Annual Symposium on Combinatorial Pattern Matching;A4
CPP;International Conference on Certified Programs and Proofs;B2
CRIWG;International Conference on Collaboration and Technology;B1
CRTL+E;Congresso sobre Tecnologias na Educação;B4
CRYPTO;International Cryptology Conference;A1
CSBIO;International Conference on Computational Systems-Biology and Bioinformatics;B3
CSC;SIAM Workshop on Combinatorial Scientific Computing;B3
CSCI;INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND COMPUTATIONAL INTELLIGENCE;A4
CSCL;International Conference on Computer Supported Collaborative Learning;B2
CSCloud;International Conference on Cyber Security and Cloud Computing;A4
CSCN;IEEE Conference on Standards for Communications and Networking;B2
CSCW;ACM Conference on Computer Supported Cooperative Work & Social Computing;A1
CSCWC;International Conference on Scientific Computing;B3
CSCWD;IEEE International Conference on Computer Supported Cooperative Work in Design;A3
CSDS;Conference of the System Dynamics Society;B2
CSE;International Conference on Computational Science and Engineering;A4
CSEDU;International Conference on Computer Supported Education;A3
CSEE&T;Conference on Software Engineering Education and Training;A4
CSF;IEEE Computer Security Foundations Symposium;A3
CSI-SE;E - International Workshop on Crowdsourcing in Software Engineering;B2
CSL;Conference for Computer Science Logic;A3
CSMC;Conference on Computer Simulation of Musical Creativity;B3
CSMR;European Conference on Software Maintenance and Reengineering;A3
CSNDSP;International Symposium on Communication Systems, Networks and Digital Signal Processing;B1
CT-RSA;RSA Conference Cryptographers' Track;A2
CTE;International Conference on Computational Thinking Education;B4
CVPR;IEEE Conference on Computer Vision and Pattern Recognition;A1
CVPRW;IEEE Conference on Computer Vision and Pattern Recognition Workshops;A1
DAC;Design Automation Conference;A1
DAFX;International Conference on Digital Audio Effects;B1
DAIS;International Conference on Distributed Applications and Interoperable Systems;B1
DAMON;International Workshop on Data Management on New Hardware;A4
DARS;International Symposium on Distributed Autonomous Robotic Systems;B4
DAS;International Workshop on Document Analysis Systems;A4
DASFAA;International Conference on Database Systems for Advanced Applications;A3
DASIP;Conference on Design and Architectures for Signal and Image Processing;B2
DATAANALYTICS-IARIA;IARIA International Conference on Data Analytics;B4
DATE;Design, Automation and Test in Europe Conference and Exhibition;A1
DAWAK;International Conference on Big Data Analytics and Knowledge Discovery;B1
DBKD-AIARIA;IARIA International Conference on Advances in Databases, Knowledge, and Data Applications;B4
DBSec;IFIP WG 11.3 Conference on Data and Applications Security and Privacy;B1
DCAI;International Symposium on Distributed Computing and Artificial Intelligence;B2
DCASE;Workshop on Detection and Classification of Acoustic Scenes and Events;B4
DCC;Data Compression Conference;A3
DCCW;ACM Workshop on Distributed Cloud Computing;B3
DCM;International Workshop on Developments in Computational Models;B4
DCOSS;International Conference on Distributed Computing in Sensor Systems;A3
DDECS;IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems;B2
DEA;International Conference on Data Envelopment Analysis;B4
DEBS;International Conference on Distributed and Event-Based Systems;A3
DEPCOS;ELCOMEX - International Conference on Dependability and Complex Systems;B2
DESAFIE;Workshop de Desafios da Computação Aplicada à Educação;B4
DESE;International Conference on Developments in eSystems Engineering;B3
DEXA;International Conference on Database and Expert Systems Applications;A4
DFT;IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems;A4
DFTVS;IEEE International Symposium on Defect and Fault Tolerance of VLSI Systems;B1
DGCI;Discrete Geometry for Computer Imagery;B1
DGO;Annual International Conference on Digital Government Research;A4
DH;Digital Heritage;B1
DHM;International Conference on Digital Human Modeling - Applications in Health, Safety, Ergonomics and Risk Management;B2
DIGRA;Digital Games Research Association International Conference;B1
DILS;International Conference on Data Integration in Life Sciences;B3
DIS;Conference on Designing Interactive Systems;A2
DISC;International Symposium on Distributed Computing;A3
DIVANET;ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications;B2
DL;International Workshop on Description Logics;A3
DMA;International Conference on Data Mining and Applications;A4
DMNPL;Workshop on Interactions between Data Mining and Natural Language Processing;B4
DMS;International Conference on Distributed Multimedia Systems;B4
DOCENG;ACM SIGWEB International Symposium on Document Engineering;B1
DOLAP;International Workshop On Data Warehousing and OLAP;B2
DPM;International Workshop on Data Privacy Management;B4
DRCN;International Conference on the Design of Reliable Communication Networks;A4
DroNet;Workshop on Micro Aerial Vehicle Networks, Systems, and Applications for Civilian Use;B2
DS;International Conference on Discovery Science;B2
DS-RT;IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications;B2
DSAA;IEEE International Conference on Data Science and Advanced Analytics;B1
DSAI;International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion;B2
DSC;IEEE Conference on Dependable and Secure Computing;B3
DSD;Euromicro Conference on Digital System Design;A3
