"producao_issn";"nome_periodico";"estrato"
"09295585";DESIGN AUTOMATION FOR EMBEDDED SYSTEMS;A3
"15728080";DESIGN AUTOMATION FOR EMBEDDED SYSTEMS (DORDRECHT. ONLINE);A3
"15345807";DEVELOPMENTAL CELL;A1
"00121797";DIABETES (NEW YORK, N.Y.);A1
"17585996";DIABETOLOGY & METABOLIC SYNDROME;A3
"19956630";DIÁLOGOS DE LA COMUNICACIÓN (EN LÍNEA);SQ
"14626268";DIGITAL CREATIVITY (EXETER);B1
"20557671";DIGITAL SCHOLARSHIP IN THE HUMANITIES (PRINT);A2
"10512004";DIGITAL SIGNAL PROCESSING (PRINT);A1
"17483107";DISABILITY AND REHABILITATION: ASSISTIVE TECHNOLOGY;A2
"2176462X";DISCIPLINARUM SCIENTIA. SÉRIE CIÊNCIAS NATURAIS E TECNOLÓGICAS;SQ
"14320444";DISCRETE AND COMPUTATIONAL GEOMETRY (INTERNET);A3
"0166218X";DISCRETE APPLIED MATHEMATICS;A3
"0012365X";DISCRETE MATHEMATICS;A4
"13658050";DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE (ONLINE);A4
"17938309";DISCRETE MATHEMATICS, ALGORITHMS AND APPLICATIONS;B1
"15725286";DISCRETE OPTIMIZATION;A4
"09268782";DISTRIBUTED AND PARALLEL DATABASES;A4
"15737578";DISTRIBUTED AND PARALLEL DATABASES (DORDRECHT. ONLINE);A4
"03768716";DRUG AND ALCOHOL DEPENDENCE;A2
"18082599";E-COMPÓS (BRASÍLIA);SQ
"18080588";E.T.C. EDUCAÇÃO, TECNOLOGIA E CULTURA;SQ
"23184051";EAD & TECNOLOGIAS DIGITAIS NA EDUCAÇÃO;SQ
"18650481";EARTH SCIENCE INFORMATICS (INTERNET);A3
"18650473";EARTH SCIENCE INFORMATICS (PRINT);A3
"01979337";EARTH SURFACE PROCESSES AND LANDFORMS (PRINT);A1
"09067590";ECOGRAPHY (COPENHAGEN);A1
"09258574";ECOLOGICAL ENGINEERING;A1
"15749541";ECOLOGICAL INFORMATICS (PRINT);A1
"03043800";ECOLOGICAL MODELLING;A2
"19814224";EDUCAÇÃO & IMAGEM (UERJ);SQ
"15179702";EDUCAÇÃO E PESQUISA (USP.IMPRESSO);B2
"21756236";EDUCACAO E REALIDADE;B3
"01024698";EDUCAÇÃO EM REVISTA (UFMG - IMPRESSO);SQ
"19833156";EDUCAÇÃO MATEMÁTICA PESQUISA (ONLINE);SQ
"16762592";EDUCAÇÃO TEMÁTICA DIGITAL;SQ
"19818106";EDUCAÇÃO: TEORIA E PRÁTICA;SQ
"01044060";EDUCAR EM REVISTA (IMPRESSO);SQ
"14364522";EDUCATIONAL TECHNOLOGY & SOCIETY;A1
"16794508";EINSTEIN (SÃO PAULO);B1
"15775097";ELCVIA. ELECTRONIC LETTERS ON COMPUTER VISION AND IMAGE ANALYSIS;B3
"15325008";ELECTRIC POWER COMPONENTS AND SYSTEMS;A4
"03787796";ELECTRIC POWER SYSTEMS RESEARCH (PRINT);A2
"09487921";ELECTRICAL ENGINEERING (BERLIN. PRINT);A3
"00134686";ELECTROCHIMICA ACTA;A1
"18632122";ELECTRONIC COMMUNICATIONS OF THE EASST;B4
"07173458";ELECTRONIC JOURNAL OF BIOTECHNOLOGY;A3
"15710653";ELECTRONIC NOTES IN DISCRETE MATHEMATICS;A4
"20799292";ELECTRONICS (SWITZERLAND);A4
"00135194";ELECTRONICS LETTERS;A4
"1350911X";ELECTRONICS LETTERS (ONLINE);A4
"18061877";ELETROEVOLUÇÃO (RIO DE JANEIRO);SQ
"09223444";ELSEVIER (AMSTERDAM);SQ
"21764883";EM DEBATE (BELO HORIZONTE);SQ
"18085245";EM QUESTÃO;SQ
"15213250";EMERGENCE (MAHWAH, N.J.);B2
