"curriculo_id";"titulo_artigo";"nome_evento";"titulo_anais_ou_proceedings";"ano_trabalho"
2446301582459104;Leitura Automática de Códigos de Barras em Imagens de Medidores de Energia Elétrica;"30th Conference on Graphics, Patterns and Images (SIBGRAPI'17)";Workshop of Industry Applications (WIA) in the 30th Conference on Graphics, Patterns and Images (SIBGRAPI'17);2017
2446301582459104;Detecção automática de medidores elétricos em imagens utilizando uma combinação de SVM e CNN;XIII Simpósio Brasileiro de Automação Inteligente (SBAI);Anais do XIII Simpósio Brasileiro de Automação Inteligente;2017
2446301582459104;Detecção Automática de Presença de Assinatura em Protocolos de Recebimento de Reaviso de Distribuidora de Energia Elétrica;"30th Conference on Graphics, Patterns and Images (SIBGRAPI'17)";Workshop of Industry Applications (WIA) in the 30th Conference on Graphics, Patterns and Images (SIBGRAPI'17);2017
2446301582459104;Automatic consumption reading on electromechanical meters using HoG and SVM;"7th Latin American Conference on Networked and Electronic Media (LACNEM)";"7th Latin American Conference on Networked and Electronic Media (LACNEM 2017)";2017
2446301582459104;Tear Film Classification Using Phylogenetic Diversity Indexes as Texture Descriptor;IEEE Symposium on Computers and Communications (ISCC);Proceedings IEEE Symposium on Computers and Communications (ISCC);2018
2446301582459104;Segmentação Automática da Próstata em Imagens de Ressonância Magnética utilizando Redes Neurais Convolucionais e Mapa Probabilístico;XVIII Simpósio Brasileiro de Computação Aplicada à Saúde;Anais do Simpósio Brasileiro de Computação Aplicada à Saúde (SBCAS);2018
2446301582459104;"Segmentação de pulmão em radiografias de tórax usando redes convolucionais";Congresso Brasileiro de Informática em Saúde;XVI Congresso Brasileiro de Informática em Saúde;2018
2446301582459104;Sclera Segmentation in Face Images Using Image Foresting Transform;"22nd IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION (CIARP)";"22nd IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION";2018
2446301582459104;Diagnosis of Non-Small Cell Lung Cancer Using Phylogenetic Diversity in Radiomics Context;"15th International Conference on Image Analysis and Recognition";Proceedings 15th International Conference on Image Analysis and Recognition  (ICIAR);2018
2446301582459104;"Detecção de Regiões Suspeitas em Termografia da Mama Usando Matrix Profile";Congresso Brasileiro de Informática e Saúde;XVI Congresso Brasileiro de Informática e Saúde;2018
2446301582459104;Classificação do câncer de pulmão de células não pequenas usando índice de diversidade filogenética e índices de forma em uma abordagem Radiomics;XVIII Simpósio Brasileiro de Computação Aplicada à Saúde;Anais do Simpósio Brasileiro de Computação Aplicada à Saúde (SBCAS);2018
